State Region Brazil	Minimum	5th	25th	50th	75th	95th	Maximum
Brazil	-0.09	15.39	20.92	23.96	26.08	28.68	34.8
North	13.99	23.91	25.15	26.13	27.39	29.32	34.32
AC	13.99	22.81	24.35	25.13	26.01	27.49	31.01
AM	17.98	24.18	25.09	25.81	26.68	28.39	33.06
AP	21.98	23.72	24.73	25.65	27.14	28.59	30.5
PA	21.7	24.24	25.38	26.31	27.53	28.99	32.59
RO	14.11	23.34	24.67	25.52	26.6	28.59	31.61
RR	20.04	22.88	24.29	25.33	26.67	28.82	32.24
TO	19.6	24.17	25.58	26.71	28.03	30.27	34.32
Northeast	14.04	21.49	24.16	25.8	27.24	29.54	34.39
AL	18.6	21.76	23.52	25.02	26.32	27.9	32.78
BA	14.04	19.99	22.31	24.08	25.73	27.8	33.99
CE	19.09	23.82	25.58	26.77	27.81	29.16	32.41
MA	21.75	24.53	25.79	26.84	28.09	29.89	33.29
PB	19.17	22.36	24.19	25.49	26.74	29.15	32.08
PE	17.59	20.77	22.95	24.35	25.76	27.84	32.71
PI	20.71	24.44	26.07	27.55	29.3	31.41	34.39
RN	20.18	24.02	25.56	26.6	27.66	29.29	31.86
SE	19.77	22.17	23.74	25.35	26.53	27.77	32.25
Center-West	6.09	20.68	23.34	24.88	26.41	28.96	34.3
DF	15.96	19.42	21.01	22.23	23.54	25.87	29.58
GO	11.3	20.99	22.97	24.4	26	28.76	34.18
MS	6.09	16.95	22.42	24.71	26.46	28.81	34.26
MT	10.6	22.55	24.46	25.61	26.89	29.31	34.3
Southeast	4.69	16.13	19.7	22.13	24.31	27.03	34.8
ES	10.78	17.22	20.39	22.49	24.66	26.82	31.46
MG	6.71	16.15	19.47	21.76	23.82	26.62	34.54
SP	4.69	15.88	19.96	22.66	24.83	27.45	34.8
RJ	9.78	16.75	19.79	22.12	24.45	27.2	32.25
South	-0.09	11.03	16.52	19.92	22.76	26.02	33.03
PR	0.67	13.25	18.19	21.27	23.78	26.78	32.42
RS	0.77	9.99	15.71	19.33	22.35	25.7	33.03
SC	-0.09	10.8	15.86	18.98	21.73	24.89	31.13
